unweighted_fairness,weighted_fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues,n_approvals_per_voter
0.703,0.819,10000,10,1.5,plurality,0.0,5,2,2
0.767,0.769,10000,10,1.5,majority,0.0,5,2,2
0.827,0.76,10000,10,1.5,approval,0.0,5,2,2
0.758,0.774,10000,10,1.5,plurality,0.0,5,2,2
0.54,0.667,10000,10,1.5,majority,0.0,5,2,2
0.794,0.729,10000,10,1.5,approval,0.0,5,2,2
0.803,0.777,10000,10,1.5,plurality,0.0,5,2,2
0.685,0.754,10000,10,1.5,majority,0.0,5,2,2
0.781,0.742,10000,10,1.5,approval,0.0,5,2,2
0.873,0.813,10000,10,1.5,plurality,0.0,5,2,2
0.898,0.827,10000,10,1.5,majority,0.0,5,2,2
0.997,0.786,10000,10,1.5,approval,0.0,5,2,2
0.678,0.744,10000,10,1.5,plurality,0.0,5,2,2
0.711,0.709,10000,10,1.5,majority,0.0,5,2,2
0.827,0.752,10000,10,1.5,approval,0.0,5,2,2
0.74,0.736,10000,10,1.5,plurality,0.0,5,2,2
0.85,0.903,10000,10,1.5,majority,0.0,5,2,2
0.849,0.746,10000,10,1.5,approval,0.0,5,2,2
1.006,0.871,10000,10,1.5,plurality,0.0,5,2,2
0.722,0.727,10000,10,1.5,majority,0.0,5,2,2
1.02,0.793,10000,10,1.5,approval,0.0,5,2,2
0.803,0.736,10000,10,1.5,plurality,0.0,5,2,2
0.613,0.689,10000,10,1.5,majority,0.0,5,2,2
1.1,0.877,10000,10,1.5,approval,0.0,5,2,2
0.902,0.768,10000,10,1.5,plurality,0.0,5,2,2
0.776,0.785,10000,10,1.5,majority,0.0,5,2,2
0.988,0.908,10000,10,1.5,approval,0.0,5,2,2
1.086,0.825,10000,10,1.5,plurality,0.0,5,2,2
0.948,0.874,10000,10,1.5,majority,0.0,5,2,2
0.89,0.84,10000,10,1.5,approval,0.0,5,2,2
0.781,0.746,10000,10,1.5,plurality,0.0,5,2,2
0.733,0.828,10000,10,1.5,majority,0.0,5,2,2
0.852,0.782,10000,10,1.5,approval,0.0,5,2,2
0.729,0.8,10000,10,1.5,plurality,0.0,5,2,2
0.67,0.673,10000,10,1.5,majority,0.0,5,2,2
0.865,0.788,10000,10,1.5,approval,0.0,5,2,2
0.959,0.807,10000,10,1.5,plurality,0.0,5,2,2
0.638,0.662,10000,10,1.5,majority,0.0,5,2,2
1.005,0.843,10000,10,1.5,approval,0.0,5,2,2
0.741,0.758,10000,10,1.5,plurality,0.0,5,2,2
0.652,0.692,10000,10,1.5,majority,0.0,5,2,2
0.838,0.757,10000,10,1.5,approval,0.0,5,2,2
0.952,0.834,10000,10,1.5,plurality,0.0,5,2,2
0.947,0.938,10000,10,1.5,majority,0.0,5,2,2
0.985,0.788,10000,10,1.5,approval,0.0,5,2,2
0.878,0.808,10000,10,1.5,plurality,0.0,5,2,2
0.739,0.758,10000,10,1.5,majority,0.0,5,2,2
0.826,0.754,10000,10,1.5,approval,0.0,5,2,2
0.723,0.753,10000,10,1.5,plurality,0.0,5,2,2
0.693,0.65,10000,10,1.5,majority,0.0,5,2,2
1.094,0.875,10000,10,1.5,approval,0.0,5,2,2
0.911,0.762,10000,10,1.5,plurality,0.0,5,2,2
0.818,0.799,10000,10,1.5,majority,0.0,5,2,2
1.02,0.81,10000,10,1.5,approval,0.0,5,2,2
0.84,0.74,10000,10,1.5,plurality,0.0,5,2,2
0.842,0.752,10000,10,1.5,majority,0.0,5,2,2
0.852,0.739,10000,10,1.5,approval,0.0,5,2,2
0.777,0.759,10000,10,1.5,plurality,0.0,5,2,2
0.66,0.712,10000,10,1.5,majority,0.0,5,2,2
0.691,0.715,10000,10,1.5,approval,0.0,5,2,2
0.839,0.805,10000,10,1.5,plurality,0.0,5,2,2
1.069,1.043,10000,10,1.5,majority,0.0,5,2,2
1.091,0.93,10000,10,1.5,approval,0.0,5,2,2
0.754,0.771,10000,10,1.5,plurality,0.0,5,2,2
0.64,0.685,10000,10,1.5,majority,0.0,5,2,2
0.994,0.818,10000,10,1.5,approval,0.0,5,2,2
0.99,0.907,10000,10,1.5,plurality,0.0,5,2,2
1.028,0.952,10000,10,1.5,majority,0.0,5,2,2
0.829,0.733,10000,10,1.5,approval,0.0,5,2,2
0.971,0.811,10000,10,1.5,plurality,0.0,5,2,2
0.754,0.778,10000,10,1.5,majority,0.0,5,2,2
0.973,0.8,10000,10,1.5,approval,0.0,5,2,2
0.692,0.749,10000,10,1.5,plurality,0.0,5,2,2
0.834,0.86,10000,10,1.5,majority,0.0,5,2,2
0.998,0.82,10000,10,1.5,approval,0.0,5,2,2
0.884,0.788,10000,10,1.5,plurality,0.0,5,2,2
0.547,0.602,10000,10,1.5,majority,0.0,5,2,2
0.882,0.798,10000,10,1.5,approval,0.0,5,2,2
0.892,0.809,10000,10,1.5,plurality,0.0,5,2,2
0.757,0.768,10000,10,1.5,majority,0.0,5,2,2
0.893,0.804,10000,10,1.5,approval,0.0,5,2,2
0.725,0.738,10000,10,1.5,plurality,0.0,5,2,2
0.778,0.763,10000,10,1.5,majority,0.0,5,2,2
0.956,0.776,10000,10,1.5,approval,0.0,5,2,2
1.01,0.796,10000,10,1.5,plurality,0.0,5,2,2
0.676,0.703,10000,10,1.5,majority,0.0,5,2,2
1.05,0.823,10000,10,1.5,approval,0.0,5,2,2
0.854,0.751,10000,10,1.5,plurality,0.0,5,2,2
0.634,0.669,10000,10,1.5,majority,0.0,5,2,2
0.974,0.816,10000,10,1.5,approval,0.0,5,2,2
0.737,0.758,10000,10,1.5,plurality,0.0,5,2,2
0.848,0.759,10000,10,1.5,majority,0.0,5,2,2
0.838,0.734,10000,10,1.5,approval,0.0,5,2,2
0.839,0.802,10000,10,1.5,plurality,0.0,5,2,2
0.684,0.755,10000,10,1.5,majority,0.0,5,2,2
0.994,0.812,10000,10,1.5,approval,0.0,5,2,2
0.726,0.737,10000,10,1.5,plurality,0.0,5,2,2
0.851,0.774,10000,10,1.5,majority,0.0,5,2,2
0.776,0.792,10000,10,1.5,approval,0.0,5,2,2
0.809,0.798,10000,10,1.5,plurality,0.0,5,2,2
0.622,0.681,10000,10,1.5,majority,0.0,5,2,2
1.071,0.861,10000,10,1.5,approval,0.0,5,2,2
0.883,0.742,10000,10,1.5,plurality,0.0,5,2,2
0.806,0.805,10000,10,1.5,majority,0.0,5,2,2
0.964,0.759,10000,10,1.5,approval,0.0,5,2,2
0.811,0.808,10000,10,1.5,plurality,0.0,5,2,2
0.845,0.841,10000,10,1.5,majority,0.0,5,2,2
1.051,0.853,10000,10,1.5,approval,0.0,5,2,2
0.864,0.75,10000,10,1.5,plurality,0.0,5,2,2
0.788,0.795,10000,10,1.5,majority,0.0,5,2,2
0.934,0.756,10000,10,1.5,approval,0.0,5,2,2
0.838,0.751,10000,10,1.5,plurality,0.0,5,2,2
0.941,0.77,10000,10,1.5,majority,0.0,5,2,2
0.835,0.754,10000,10,1.5,approval,0.0,5,2,2
0.658,0.779,10000,10,1.5,plurality,0.0,5,2,2
0.806,0.836,10000,10,1.5,majority,0.0,5,2,2
0.96,0.806,10000,10,1.5,approval,0.0,5,2,2
0.733,0.797,10000,10,1.5,plurality,0.0,5,2,2
0.778,0.823,10000,10,1.5,majority,0.0,5,2,2
1.06,0.855,10000,10,1.5,approval,0.0,5,2,2
0.819,0.746,10000,10,1.5,plurality,0.0,5,2,2
0.833,0.842,10000,10,1.5,majority,0.0,5,2,2
