,fairness,electorate_size,clusters,cluster_std,electoral_system,apathy_prob,candidates,issues
452,0.477,10000,1,3,plurality,0.01,8,22
453,0.456,10000,1,3,plurality,0.01,9,2
454,0.667,10000,1,3,plurality,0.01,9,12
455,0.477,10000,1,3,plurality,0.01,9,22
456,0.44,10000,1,3,plurality,0.01,10,2
457,0.492,10000,1,3,plurality,0.01,10,12
458,0.459,10000,1,3,plurality,0.01,10,22
459,0.567,10000,1,3,plurality,0.05,2,2
460,0.458,10000,1,3,plurality,0.05,2,12
461,0.467,10000,1,3,plurality,0.05,2,22
462,0.562,10000,1,3,plurality,0.05,3,2
463,0.619,10000,1,3,plurality,0.05,3,12
464,0.491,10000,1,3,plurality,0.05,3,22
465,0.597,10000,1,3,plurality,0.05,4,2
466,0.462,10000,1,3,plurality,0.05,4,12
467,0.462,10000,1,3,plurality,0.05,4,22
468,0.344,10000,1,3,plurality,0.05,5,2
469,0.512,10000,1,3,plurality,0.05,5,12
470,0.477,10000,1,3,plurality,0.05,5,22
471,0.359,10000,1,3,plurality,0.05,6,2
472,0.527,10000,1,3,plurality,0.05,6,12
473,0.467,10000,1,3,plurality,0.05,6,22
474,0.858,10000,1,3,plurality,0.05,7,2
475,0.478,10000,1,3,plurality,0.05,7,12
476,0.594,10000,1,3,plurality,0.05,7,22
477,0.377,10000,1,3,plurality,0.05,8,2
478,0.459,10000,1,3,plurality,0.05,8,12
479,0.471,10000,1,3,plurality,0.05,8,22
480,0.488,10000,1,3,plurality,0.05,9,2
481,0.449,10000,1,3,plurality,0.05,9,12
482,0.473,10000,1,3,plurality,0.05,9,22
483,0.55,10000,1,3,plurality,0.05,10,2
484,0.627,10000,1,3,plurality,0.05,10,12
485,0.549,10000,1,3,plurality,0.05,10,22
486,0.294,10000,2,1,majority,0.0,2,2
487,0.883,10000,2,1,majority,0.0,2,12
488,1.142,10000,2,1,majority,0.0,2,22
489,1.348,10000,2,1,majority,0.0,3,2
490,1.264,10000,2,1,majority,0.0,3,12
491,0.923,10000,2,1,majority,0.0,3,22
492,0.397,10000,2,1,majority,0.0,4,2
493,0.975,10000,2,1,majority,0.0,4,12
494,1.043,10000,2,1,majority,0.0,4,22
495,1.272,10000,2,1,majority,0.0,5,2
496,0.955,10000,2,1,majority,0.0,5,12
497,1.069,10000,2,1,majority,0.0,5,22
498,1.363,10000,2,1,majority,0.0,6,2
499,0.973,10000,2,1,majority,0.0,6,12
500,1.152,10000,2,1,majority,0.0,6,22
501,0.999,10000,2,1,majority,0.0,7,2
502,1.042,10000,2,1,majority,0.0,7,12
503,0.899,10000,2,1,majority,0.0,7,22
504,1.087,10000,2,1,majority,0.0,8,2
505,0.73,10000,2,1,majority,0.0,8,12
506,0.938,10000,2,1,majority,0.0,8,22
507,1.195,10000,2,1,majority,0.0,9,2
508,1.042,10000,2,1,majority,0.0,9,12
509,0.854,10000,2,1,majority,0.0,9,22
510,1.433,10000,2,1,majority,0.0,10,2
511,0.922,10000,2,1,majority,0.0,10,12
512,0.913,10000,2,1,majority,0.0,10,22
513,1.23,10000,2,1,majority,0.01,2,2
514,1.182,10000,2,1,majority,0.01,2,12
515,0.794,10000,2,1,majority,0.01,2,22
516,0.276,10000,2,1,majority,0.01,3,2
517,0.893,10000,2,1,majority,0.01,3,12
518,0.744,10000,2,1,majority,0.01,3,22
519,0.332,10000,2,1,majority,0.01,4,2
520,1.029,10000,2,1,majority,0.01,4,12
521,1.096,10000,2,1,majority,0.01,4,22
522,0.983,10000,2,1,majority,0.01,5,2
523,0.819,10000,2,1,majority,0.01,5,12
524,1.154,10000,2,1,majority,0.01,5,22
525,1.007,10000,2,1,majority,0.01,6,2
526,0.844,10000,2,1,majority,0.01,6,12
527,0.867,10000,2,1,majority,0.01,6,22
528,1.463,10000,2,1,majority,0.01,7,2
529,1.062,10000,2,1,majority,0.01,7,12
530,0.81,10000,2,1,majority,0.01,7,22
531,0.214,10000,2,1,majority,0.01,8,2
532,1.177,10000,2,1,majority,0.01,8,12
533,0.987,10000,2,1,majority,0.01,8,22
534,1.197,10000,2,1,majority,0.01,9,2
535,0.907,10000,2,1,majority,0.01,9,12
536,0.897,10000,2,1,majority,0.01,9,22
537,0.815,10000,2,1,majority,0.01,10,2
538,1.033,10000,2,1,majority,0.01,10,12
539,0.713,10000,2,1,majority,0.01,10,22
540,0.971,10000,2,1,majority,0.05,2,2
541,0.764,10000,2,1,majority,0.05,2,12
542,1.054,10000,2,1,majority,0.05,2,22
543,0.298,10000,2,1,majority,0.05,3,2
544,1.137,10000,2,1,majority,0.05,3,12
545,1.111,10000,2,1,majority,0.05,3,22
546,1.305,10000,2,1,majority,0.05,4,2
547,1.186,10000,2,1,majority,0.05,4,12
548,0.945,10000,2,1,majority,0.05,4,22
549,1.292,10000,2,1,majority,0.05,5,2
550,0.721,10000,2,1,majority,0.05,5,12
551,0.945,10000,2,1,majority,0.05,5,22
552,0.722,10000,2,1,majority,0.05,6,2
553,0.942,10000,2,1,majority,0.05,6,12
554,0.929,10000,2,1,majority,0.05,6,22
555,1.186,10000,2,1,majority,0.05,7,2
556,0.861,10000,2,1,majority,0.05,7,12
557,1.068,10000,2,1,majority,0.05,7,22
558,1.179,10000,2,1,majority,0.05,8,2
559,0.965,10000,2,1,majority,0.05,8,12
560,1.163,10000,2,1,majority,0.05,8,22
561,1.065,10000,2,1,majority,0.05,9,2
562,1.101,10000,2,1,majority,0.05,9,12
563,1.009,10000,2,1,majority,0.05,9,22
564,1.08,10000,2,1,majority,0.05,10,2
565,0.933,10000,2,1,majority,0.05,10,12
566,0.961,10000,2,1,majority,0.05,10,22
567,0.499,10000,2,1,plurality,0.0,2,2
