,fairness,electorate_size,electoral_system,issues
527,0.673,10000,plurality,22
528,0.954,10000,plurality,2
529,0.718,10000,plurality,12
530,0.702,10000,plurality,22
531,0.649,10000,plurality,2
532,0.798,10000,plurality,12
533,0.704,10000,plurality,22
534,0.594,10000,plurality,2
535,0.768,10000,plurality,12
536,0.681,10000,plurality,22
537,0.623,10000,plurality,2
538,0.692,10000,plurality,12
539,0.714,10000,plurality,22
540,0.829,10000,majority,2
541,1.104,10000,majority,12
542,1.129,10000,majority,22
543,1.221,10000,majority,2
544,0.972,10000,majority,12
545,0.967,10000,majority,22
546,0.203,10000,majority,2
547,0.966,10000,majority,12
548,0.973,10000,majority,22
549,1.31,10000,majority,2
550,0.999,10000,majority,12
551,1.044,10000,majority,22
552,0.865,10000,majority,2
553,1.271,10000,majority,12
554,0.978,10000,majority,22
555,1.316,10000,majority,2
556,0.844,10000,majority,12
557,0.934,10000,majority,22
558,0.607,10000,majority,2
559,0.942,10000,majority,12
560,0.875,10000,majority,22
561,0.8,10000,majority,2
562,0.805,10000,majority,12
563,1.221,10000,majority,22
564,0.803,10000,majority,2
565,0.878,10000,majority,12
566,0.832,10000,majority,22
567,0.736,10000,plurality,2
568,0.848,10000,plurality,12
569,0.985,10000,plurality,22
570,0.626,10000,plurality,2
571,1.024,10000,plurality,12
572,0.998,10000,plurality,22
573,1.139,10000,plurality,2
574,0.743,10000,plurality,12
575,0.947,10000,plurality,22
576,0.599,10000,plurality,2
577,1.029,10000,plurality,12
578,1.035,10000,plurality,22
579,1.413,10000,plurality,2
580,0.859,10000,plurality,12
581,0.975,10000,plurality,22
582,1.224,10000,plurality,2
583,0.865,10000,plurality,12
584,1.009,10000,plurality,22
585,0.932,10000,plurality,2
586,1.205,10000,plurality,12
587,0.869,10000,plurality,22
588,0.971,10000,plurality,2
589,0.991,10000,plurality,12
590,1.038,10000,plurality,22
591,0.747,10000,plurality,2
592,1.181,10000,plurality,12
593,1.001,10000,plurality,22
594,0.697,10000,majority,2
595,1.119,10000,majority,12
596,0.802,10000,majority,22
597,0.645,10000,majority,2
598,0.476,10000,majority,12
599,0.916,10000,majority,22
600,1.032,10000,majority,2
601,0.946,10000,majority,12
602,0.754,10000,majority,22
603,0.45,10000,majority,2
604,0.999,10000,majority,12
605,1.094,10000,majority,22
606,1.452,10000,majority,2
607,1.239,10000,majority,12
608,0.994,10000,majority,22
609,1.175,10000,majority,2
610,1.094,10000,majority,12
611,0.774,10000,majority,22
612,0.42,10000,majority,2
613,0.674,10000,majority,12
614,1.143,10000,majority,22
615,0.463,10000,majority,2
616,0.995,10000,majority,12
617,0.955,10000,majority,22
618,0.732,10000,majority,2
619,0.968,10000,majority,12
620,0.87,10000,majority,22
621,0.357,10000,plurality,2
622,0.947,10000,plurality,12
623,0.97,10000,plurality,22
624,0.632,10000,plurality,2
625,0.993,10000,plurality,12
626,1.091,10000,plurality,22
627,1.483,10000,plurality,2
628,1.009,10000,plurality,12
629,0.977,10000,plurality,22
630,1.246,10000,plurality,2
631,0.727,10000,plurality,12
632,0.922,10000,plurality,22
633,0.601,10000,plurality,2
634,1.209,10000,plurality,12
635,0.96,10000,plurality,22
636,1.401,10000,plurality,2
637,0.813,10000,plurality,12
638,0.863,10000,plurality,22
639,0.89,10000,plurality,2
640,0.931,10000,plurality,12
641,0.969,10000,plurality,22
642,1.391,10000,plurality,2
643,0.938,10000,plurality,12
644,0.924,10000,plurality,22
645,1.059,10000,plurality,2
646,1.056,10000,plurality,12
647,0.888,10000,plurality,22
648,0.948,10000,majority,2
649,1.106,10000,majority,12
650,0.809,10000,majority,22
651,0.66,10000,majority,2
652,1.005,10000,majority,12
653,0.908,10000,majority,22
654,1.035,10000,majority,2
655,0.834,10000,majority,12
656,0.879,10000,majority,22
657,0.787,10000,majority,2
658,0.869,10000,majority,12
659,1.03,10000,majority,22
660,1.422,10000,majority,2
661,1.133,10000,majority,12
662,0.963,10000,majority,22
663,1.239,10000,majority,2
664,1.166,10000,majority,12
665,0.943,10000,majority,22
666,1.092,10000,majority,2
667,1.052,10000,majority,12
668,0.967,10000,majority,22
669,1.333,10000,majority,2
670,1.024,10000,majority,12
671,1.038,10000,majority,22
672,1.547,10000,majority,2
673,1.11,10000,majority,12
674,0.972,10000,majority,22
675,0.468,10000,plurality,2
676,0.76,10000,plurality,12
677,0.969,10000,plurality,22
678,1.353,10000,plurality,2
679,1.161,10000,plurality,12
680,1.134,10000,plurality,22
681,0.783,10000,plurality,2
682,0.778,10000,plurality,12
683,1.147,10000,plurality,22
684,0.456,10000,plurality,2
685,0.855,10000,plurality,12
686,1.184,10000,plurality,22
687,0.303,10000,plurality,2
688,0.909,10000,plurality,12
689,0.977,10000,plurality,22
690,0.933,10000,plurality,2
691,1.047,10000,plurality,12
692,1.069,10000,plurality,22
693,0.887,10000,plurality,2
694,0.981,10000,plurality,12
695,1.044,10000,plurality,22
696,1.108,10000,plurality,2
697,0.968,10000,plurality,12
698,1.0,10000,plurality,22
699,0.534,10000,plurality,2
700,1.051,10000,plurality,12
701,0.992,10000,plurality,22
702,1.292,10000,majority,2
703,0.954,10000,majority,12
704,0.911,10000,majority,22
705,0.688,10000,majority,2
706,1.03,10000,majority,12
707,1.107,10000,majority,22
708,1.14,10000,majority,2
709,1.007,10000,majority,12
710,0.882,10000,majority,22
711,0.818,10000,majority,2
712,1.09,10000,majority,12
713,0.988,10000,majority,22
714,1.163,10000,majority,2
715,0.83,10000,majority,12
716,0.897,10000,majority,22
717,1.11,10000,majority,2
718,1.216,10000,majority,12
719,0.961,10000,majority,22
720,1.046,10000,majority,2
721,0.989,10000,majority,12
722,0.959,10000,majority,22
723,1.069,10000,majority,2
724,1.058,10000,majority,12
725,0.869,10000,majority,22
726,1.414,10000,majority,2
727,1.048,10000,majority,12
728,0.992,10000,majority,22
729,0.904,10000,plurality,2
730,1.016,10000,plurality,12
731,0.975,10000,plurality,22
732,0.791,10000,plurality,2
733,0.878,10000,plurality,12
734,1.045,10000,plurality,22
735,0.991,10000,plurality,2
736,0.955,10000,plurality,12
737,0.931,10000,plurality,22
738,1.14,10000,plurality,2
739,1.122,10000,plurality,12
740,0.931,10000,plurality,22
741,0.999,10000,plurality,2
742,1.322,10000,plurality,12
743,1.091,10000,plurality,22
744,1.447,10000,plurality,2
745,1.068,10000,plurality,12
746,1.032,10000,plurality,22
747,0.607,10000,plurality,2
748,0.981,10000,plurality,12
749,0.93,10000,plurality,22
750,0.591,10000,plurality,2
751,0.8,10000,plurality,12
752,1.015,10000,plurality,22
753,0.954,10000,plurality,2
754,0.77,10000,plurality,12
755,1.078,10000,plurality,22
756,1.326,10000,majority,2
757,0.877,10000,majority,12
758,0.975,10000,majority,22
759,1.347,10000,majority,2
760,1.061,10000,majority,12
761,0.931,10000,majority,22
762,0.966,10000,majority,2
763,1.073,10000,majority,12
764,0.887,10000,majority,22
765,0.41,10000,majority,2
766,1.094,10000,majority,12
767,1.096,10000,majority,22
768,1.128,10000,majority,2
769,0.903,10000,majority,12
770,1.112,10000,majority,22
771,1.081,10000,majority,2
772,0.878,10000,majority,12
773,0.929,10000,majority,22
774,1.117,10000,majority,2
775,1.226,10000,majority,12
776,0.928,10000,majority,22
777,0.831,10000,majority,2
778,0.981,10000,majority,12
779,1.064,10000,majority,22
780,0.882,10000,majority,2
781,1.022,10000,majority,12
782,1.012,10000,majority,22
783,0.92,10000,plurality,2
784,0.905,10000,plurality,12
785,0.993,10000,plurality,22
786,0.896,10000,plurality,2
787,0.869,10000,plurality,12
788,1.032,10000,plurality,22
789,1.453,10000,plurality,2
790,0.948,10000,plurality,12
791,0.954,10000,plurality,22
792,0.918,10000,plurality,2
793,0.706,10000,plurality,12
794,0.942,10000,plurality,22
795,0.869,10000,plurality,2
796,1.121,10000,plurality,12
797,0.954,10000,plurality,22
798,0.368,10000,plurality,2
799,0.967,10000,plurality,12
800,0.938,10000,plurality,22
801,1.145,10000,plurality,2
802,0.817,10000,plurality,12
803,0.921,10000,plurality,22
804,1.293,10000,plurality,2
805,1.254,10000,plurality,12
806,1.131,10000,plurality,22
807,0.929,10000,plurality,2
808,1.08,10000,plurality,12
809,0.945,10000,plurality,22
810,1.106,10000,majority,2
811,0.813,10000,majority,12
812,0.917,10000,majority,22
813,1.059,10000,majority,2
814,1.091,10000,majority,12
815,1.092,10000,majority,22
816,1.22,10000,majority,2
817,0.913,10000,majority,12
818,0.968,10000,majority,22
819,1.423,10000,majority,2
820,0.921,10000,majority,12
821,0.906,10000,majority,22
822,0.707,10000,majority,2
823,1.087,10000,majority,12
824,1.14,10000,majority,22
825,0.914,10000,majority,2
826,0.744,10000,majority,12
827,1.059,10000,majority,22
828,1.246,10000,majority,2
829,1.099,10000,majority,12
830,0.913,10000,majority,22
831,0.89,10000,majority,2
832,0.965,10000,majority,12
833,1.11,10000,majority,22
834,1.439,10000,majority,2
835,1.103,10000,majority,12
836,0.96,10000,majority,22
837,1.208,10000,plurality,2
838,1.043,10000,plurality,12
839,1.026,10000,plurality,22
840,0.761,10000,plurality,2
841,0.926,10000,plurality,12
842,0.861,10000,plurality,22
843,0.903,10000,plurality,2
844,1.056,10000,plurality,12
845,0.923,10000,plurality,22
846,1.286,10000,plurality,2
847,1.003,10000,plurality,12
848,0.939,10000,plurality,22
849,1.373,10000,plurality,2
850,1.091,10000,plurality,12
851,0.972,10000,plurality,22
852,0.873,10000,plurality,2
853,0.933,10000,plurality,12
854,1.077,10000,plurality,22
855,0.727,10000,plurality,2
856,1.027,10000,plurality,12
857,0.908,10000,plurality,22
858,1.203,10000,plurality,2
859,1.24,10000,plurality,12
860,1.077,10000,plurality,22
861,0.866,10000,plurality,2
862,1.032,10000,plurality,12
863,1.089,10000,plurality,22
864,1.148,10000,majority,2
865,1.04,10000,majority,12
866,0.807,10000,majority,22
867,0.618,10000,majority,2
868,1.109,10000,majority,12
869,0.744,10000,majority,22
870,0.948,10000,majority,2
871,0.913,10000,majority,12
872,1.12,10000,majority,22
873,0.954,10000,majority,2
874,0.787,10000,majority,12
875,0.979,10000,majority,22
876,0.908,10000,majority,2
877,0.975,10000,majority,12
878,1.056,10000,majority,22
879,0.851,10000,majority,2
880,1.08,10000,majority,12
881,0.883,10000,majority,22
882,0.767,10000,majority,2
883,1.105,10000,majority,12
884,1.084,10000,majority,22
885,1.019,10000,majority,2
886,0.872,10000,majority,12
887,0.781,10000,majority,22
888,1.004,10000,majority,2
889,0.916,10000,majority,12
890,0.864,10000,majority,22
891,1.291,10000,plurality,2
892,0.975,10000,plurality,12
893,0.952,10000,plurality,22
894,1.286,10000,plurality,2
895,1.008,10000,plurality,12
896,1.138,10000,plurality,22
897,1.164,10000,plurality,2
898,0.791,10000,plurality,12
899,0.913,10000,plurality,22
900,1.441,10000,plurality,2
901,0.943,10000,plurality,12
902,0.949,10000,plurality,22
903,1.319,10000,plurality,2
904,1.013,10000,plurality,12
905,1.067,10000,plurality,22
906,0.558,10000,plurality,2
907,0.945,10000,plurality,12
908,0.981,10000,plurality,22
909,0.74,10000,plurality,2
910,1.006,10000,plurality,12
911,1.005,10000,plurality,22
912,1.317,10000,plurality,2
913,1.016,10000,plurality,12
914,1.033,10000,plurality,22
915,1.157,10000,plurality,2
916,0.838,10000,plurality,12
917,1.069,10000,plurality,22
918,1.081,10000,majority,2
919,1.116,10000,majority,12
920,0.965,10000,majority,22
921,0.737,10000,majority,2
922,1.075,10000,majority,12
